0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
2Y,2Y,2YS,2B,2YS,2YD,1,2AD,2AS,2RR,2A,2AD,2A
2Y,2YT,2B,2BM,2Y,2Y,1,2A,2A,2R,2R,2A,2A
2YEI,2B,2BR,2B,2B,2B,4,2R,2R,2R,2RN,2R,2A
2B,2BD,2BN,2BT,2B,2BT,4,2RE,2R,2RR,2R,2R,2R
2YM,2B,2B,2BD,2B,2B,4,2R,2R,2RI,2R,2R,2A
2Y,2YE,2BN,2BD,2Y,2Y,1,2AM,2AR,2RI,2R,2A,2A
2Y,2Y,2YR,2B,2Y,2Y,1,2A,2A,2R,2A,2A,2A
1,1,3,1,1,1,1,1,1,1,3,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
